coord_key,Latitude,Longitude,Temperature,Humidity,Rainfall,Soil_pH,Nitrogen,Phosphorus,Potassium,Organic_C,Soil_Type
35.1000_1.8000,35.1,1.8,15.52,52.83,538.0,7.4,12.5,6.25,14.56,12.3,Clay
35.1000_1.8800,35.1,1.88,15.52,52.83,538.0,7.6,9.8,4.9,13.44,13.0,Loamy
35.1000_1.9600,35.1,1.96,16.58,51.81,459.4,7.6,7.8,3.9,14.72,8.9,Loamy
35.1000_2.0400,35.1,2.04,17.39,51.32,348.2,7.7,8.9,4.45,14.56,8.6,Loamy
35.1000_2.1200,35.1,2.12,17.39,51.32,348.2,7.8,7.3,3.65,14.16,8.2,Loamy
35.1000_2.2000,35.1,2.2,17.44,52.23,375.1,7.8,8.0,4.0,13.2,8.5,Loamy
35.1000_2.2800,35.1,2.28,17.3,52.92,398.3,7.9,7.2,3.6,12.64,8.2,Sandy
35.1000_2.3600,35.1,2.36,17.61,52.85,330.7,7.9,7.2,3.6,12.0,7.7,Loamy
35.1000_2.4400,35.1,2.44,17.61,52.85,330.7,7.9,7.1,3.55,11.52,8.6,Loamy
35.1000_2.5200,35.1,2.52,17.83,52.52,304.7,7.8,7.6,3.8,13.76,7.1,Loamy
35.1000_2.6000,35.1,2.6,17.71,52.4,388.8,7.9,7.2,3.6,12.32,8.6,Loamy
35.1000_2.6800,35.1,2.68,17.71,52.4,388.8,7.9,8.6,4.3,12.56,9.4,Loamy
35.1000_2.7600,35.1,2.76,17.47,52.63,426.2,7.9,8.7,4.35,11.6,8.4,Loamy
35.1000_2.8400,35.1,2.84,17.33,52.64,377.6,7.8,8.5,4.25,13.36,8.6,Loamy
35.1000_2.9200,35.1,2.92,17.33,52.64,377.6,7.7,9.2,4.6,15.44,7.9,Loamy
35.1000_3.0000,35.1,3.0,17.12,52.11,369.0,7.7,8.1,4.05,14.64,8.6,Loamy
35.1000_3.0800,35.1,3.08,17.15,51.86,333.0,7.8,9.2,4.6,15.76,8.7,Loamy
35.1000_3.1600,35.1,3.16,17.57,51.59,334.4,7.8,8.8,4.4,13.76,8.5,Loamy
35.1000_3.2400,35.1,3.24,17.57,51.59,334.4,7.9,7.0,3.5,12.08,8.3,Loamy
35.1000_3.3200,35.1,3.32,18.01,51.04,349.7,8.0,7.4,3.7,11.28,8.3,Loamy
35.1000_3.4000,35.1,3.4,17.85,51.28,381.8,8.0,6.8,3.4,8.64,9.0,Loamy
35.1000_3.4800,35.1,3.48,17.85,51.28,381.8,8.0,6.8,3.4,10.24,9.7,Loamy
35.1000_3.5600,35.1,3.56,17.48,51.54,426.5,7.9,9.3,4.65,10.56,10.2,Loamy
35.1000_3.6400,35.1,3.64,17.19,52.48,435.6,7.9,10.7,5.35,11.76,10.2,Loamy
35.1000_3.7200,35.1,3.72,17.19,52.48,435.6,7.9,10.0,5.0,14.64,9.1,Loamy
35.1000_3.8000,35.1,3.8,17.17,52.74,396.8,8.0,8.1,4.05,12.08,8.6,Loamy
35.1000_3.8800,35.1,3.88,17.31,51.88,342.7,8.0,7.2,3.6,10.16,9.6,Sandy
35.1000_3.9600,35.1,3.96,17.44,51.12,335.4,8.0,8.3,4.15,12.08,8.3,Loamy
35.1000_4.0400,35.1,4.04,17.44,51.12,335.4,7.9,8.4,4.2,10.72,9.0,Loamy
35.1800_1.8000,35.18,1.8,15.47,51.89,535.1,7.5,10.0,5.0,15.52,14.7,Loamy
35.1800_1.8800,35.18,1.88,16.29,52.08,535.1,7.6,9.9,4.95,15.76,9.9,Loamy
35.1800_1.9600,35.18,1.96,17.13,51.65,441.7,7.6,8.1,4.05,13.84,8.6,Loamy
35.1800_2.0400,35.18,2.04,17.68,51.79,368.3,7.7,7.6,3.8,15.68,8.6,Loamy
35.1800_2.1200,35.18,2.12,17.68,51.79,368.3,7.8,7.5,3.75,14.56,8.2,Loamy
35.1800_2.2000,35.18,2.2,17.53,53.01,369.3,7.8,7.8,3.9,14.48,8.0,Loamy
35.1800_2.2800,35.18,2.28,15.82,52.93,408.7,7.6,10.3,5.15,14.16,12.0,Loamy
35.1800_2.3600,35.18,2.36,17.69,53.07,348.0,7.9,7.6,3.8,13.44,7.5,Clay
35.1800_2.4400,35.18,2.44,17.69,53.07,348.0,7.9,7.7,3.85,12.88,7.6,Clay
35.1800_2.5200,35.18,2.52,17.86,52.5,304.1,7.8,8.3,4.15,15.12,8.6,Clay
35.1800_2.6000,35.18,2.6,17.75,52.66,329.4,7.9,9.2,4.6,11.44,8.2,Clay
35.1800_2.6800,35.18,2.68,17.75,52.66,329.4,7.9,8.3,4.15,12.0,7.4,Clay
35.1800_2.7600,35.18,2.76,17.62,52.67,357.8,7.9,7.9,3.95,12.0,8.5,Clay
35.1800_2.8400,35.18,2.84,17.52,52.62,348.4,7.9,8.1,4.05,13.68,8.7,Clay
35.1800_2.9200,35.18,2.92,17.52,52.62,348.4,7.8,8.2,4.1,12.88,9.7,Clay
35.1800_3.0000,35.18,3.0,17.31,52.6,352.4,7.8,8.3,4.15,12.48,8.6,Clay
35.1800_3.0800,35.18,3.08,17.08,52.83,374.9,7.7,8.5,4.25,13.44,8.7,Clay
35.1800_3.1600,35.18,3.16,17.21,52.62,346.0,7.7,8.6,4.3,14.88,9.8,Clay
35.1800_3.2400,35.18,3.24,17.21,52.62,346.0,7.9,7.8,3.9,12.96,7.6,Sandy
35.1800_3.3200,35.18,3.32,17.62,52.1,339.0,8.0,7.9,3.95,10.56,9.4,Clay
35.1800_3.4000,35.18,3.4,18.14,52.21,347.1,8.0,7.3,3.65,9.6,8.7,Clay
35.1800_3.4800,35.18,3.48,18.14,52.21,347.1,8.1,9.5,4.75,10.4,33.7,Clay
35.1800_3.5600,35.18,3.56,18.06,51.41,344.9,8.1,7.3,3.65,9.36,9.3,Clay
35.1800_3.6400,35.18,3.64,17.81,51.68,377.0,8.1,7.8,3.9,9.68,9.1,Clay
35.1800_3.7200,35.18,3.72,17.81,51.68,377.0,8.0,7.6,3.8,9.04,9.9,Clay
