coord_key,Latitude,Longitude,Temperature,Humidity,Rainfall,Soil_pH,Nitrogen,Phosphorus_est,Potassium,Organic_C,Soil_Type
32.0000_-2.2000,32,-2.2,19.89,36.52,220.8,8.2,3.4,1.7,9.68,3.3,Sandy
32.0000_-2.1200,32,-2.12,19.89,36.52,220.8,8.2,3.2,1.6,11.04,3,Sandy
32.0000_-2.0400,32,-2.04,20.24,36.14,220.3,8.1,3.9,1.95,10.56,4.5,Loamy
32.0000_-1.9600,32,-1.96,20.26,36.1,224.6,8.2,5.5,2.75,10,3.8,Sandy
32.0000_-1.8800,32,-1.88,18.54,38.81,232.6,8.1,6.9,3.45,10.64,6.1,Sandy
32.0000_-1.8000,32,-1.8,20.29,36.34,197.1,8.2,3.6,1.8,10,4.6,Loamy
32.0000_-1.7200,32,-1.72,20.24,36.17,164,8.2,4.2,2.1,10.08,4,Loamy
32.0000_-1.6400,32,-1.64,20.2,37.72,165.4,8.2,3.4,1.7,11.68,5.2,Loamy
32.0000_-1.5600,32,-1.56,20.52,37.24,164.6,8.2,3.4,1.7,10.88,4.2,Loamy
32.0000_-1.4800,32,-1.48,20.76,35.37,126.9,8.2,3.7,1.85,11.68,3.3,Loamy
32.0000_-1.4000,32,-1.4,20.37,36.48,171.4,8.2,3.7,1.85,11.36,3.8,Loamy
32.0000_-1.3200,32,-1.32,20.8,36.44,145.7,8.2,3.9,1.95,11.36,3.4,Loamy
32.0000_-1.2400,32,-1.24,20.85,36.57,106.9,8.2,4.7,2.35,12.24,4.4,Loamy
32.0000_-1.1600,32,-1.16,20.85,36.57,106.9,8.3,5.6,2.8,10.8,4.7,Sandy
32.0000_-1.0800,32,-1.08,20.08,35.68,116.4,8.3,7,3.5,8.96,5.6,Sandy
32.0000_-1.0000,32,-1,20.56,36.71,127.8,8.2,6.7,3.35,9.68,4.6,Sandy
32.0000_-0.9200,32,-0.92,20.45,36.87,111.1,8.3,4.5,2.25,11.6,5.1,Loamy
32.0000_-0.8400,32,-0.84,20.45,36.87,111.1,8.3,4,2,9.52,4.3,Sandy
32.0000_-0.7600,32,-0.76,20.57,36.87,124.7,8.3,4.3,2.15,9.36,4.1,Sandy
32.0000_-0.6800,32,-0.68,20.87,36.67,120.5,8.3,4,2,11.84,4.8,Loamy
32.0000_-0.6000,32,-0.6,20.87,36.67,120.5,8.3,4.3,2.15,11.36,3.7,Loamy
32.0000_-0.5200,32,-0.52,20.93,36.75,125,8.3,4.4,2.2,12.24,3.9,Loamy
32.0000_-0.4400,32,-0.44,20.64,36.94,123.5,8.3,4.1,2.05,12.16,3.2,Loamy
32.0000_-0.3600,32,-0.36,20.4,37.09,133.7,8.3,4.2,2.1,12.16,3.2,Loamy
32.0000_-0.2800,32,-0.28,20.4,37.09,133.7,8.3,4.3,2.15,11.76,3.7,Loamy
32.0000_-0.2000,32,-0.2,20.41,37.21,115.2,8.3,4.5,2.25,12.08,3.7,Loamy
32.0000_-0.1200,32,-0.12,20.51,37.26,95.2,8.3,4.7,2.35,11.52,3.7,Loamy
32.0000_-0.0400,32,-0.04,20.57,37.17,87.2,8.4,4.8,2.4,12,3.6,Loamy
32.0000_0.0400,32,0.04,20.57,37.17,87.2,8.3,5.4,2.7,11.92,3.6,Loamy
32.0000_0.1200,32,0.12,20.6,37.14,96.7,8.3,4.7,2.35,11.92,2.9,Loamy
32.0000_0.2000,32,0.2,20.61,37.4,106.9,8.3,5.3,2.65,12.16,3.6,Silt
32.0000_0.2800,32,0.28,20.67,37.49,101,8.3,5,2.5,14.16,3.9,Silt
32.0000_0.3600,32,0.36,20.67,37.49,101,8.3,5.2,2.6,12.88,3.5,Silt
32.0000_0.4400,32,0.44,20.8,37.38,121.3,8.3,4.7,2.35,10.8,3.4,Sandy
32.0000_0.5200,32,0.52,20.87,37.34,115.8,8.4,4.9,2.45,12.88,3.6,Sandy
32.0000_0.6000,32,0.6,20.85,37.47,116.9,8.3,5,2.5,14,3.6,Silt
32.0000_0.6800,32,0.68,20.85,37.47,116.9,8.3,4.4,2.2,13.04,3.4,Clay
32.0000_0.7600,32,0.76,20.87,37.51,110.3,8.4,4.6,2.3,13.84,3.6,Silt
32.0000_0.8400,32,0.84,20.92,37.51,127.9,8.3,4.1,2.05,13.6,3.7,Sandy
32.0000_0.9200,32,0.92,20.92,37.51,127.9,8.5,4.3,2.15,14.88,3.5,Clay
32.0000_1.0000,32,1,20.96,37.67,155,8.5,4.8,2.4,14.32,4.2,Clay
32.0000_1.0800,32,1.08,21.06,37.64,152.9,8.4,4.5,2.25,13.84,4.3,Clay
32.0000_1.1600,32,1.16,21.19,37.51,158.3,8.3,4.7,2.35,13.52,4.6,Sandy
32.0000_1.2400,32,1.24,21.19,37.51,158.3,8.3,4.6,2.3,13.52,4.1,Sandy
32.0000_1.3200,32,1.32,21.22,37.6,161.4,8.3,4.2,2.1,12.88,3.7,Sandy
32.0000_1.4000,32,1.4,21.25,37.42,183.7,8.4,4.8,2.4,13.2,3.9,Clay
32.0000_1.4800,32,1.48,21.3,37.39,187.5,8.3,4.4,2.2,13.76,4.7,Sandy
32.0000_1.5600,32,1.56,21.3,37.39,187.5,8.3,4.9,2.45,13.52,4.4,Sandy
32.0000_1.6400,32,1.64,21.32,37.42,164.2,8.4,8.3,4.15,14.4,5.3,Clay
32.0000_1.7200,32,1.72,21.33,37.43,147.2,8.3,8.3,4.15,13.44,4,Sandy
32.0000_1.8000,32,1.8,21.32,37.37,157.6,8.4,5.5,2.75,14.8,3.7,Sandy
32.0000_1.8800,32,1.88,21.32,37.37,157.6,8.3,5,2.5,14.64,4.5,Sandy
32.0000_1.9600,32,1.96,21.29,37.52,158,8.3,7.7,3.85,13.36,3.5,Sandy
32.0000_2.0400,32,2.04,21.31,37.55,149.7,8.3,7.8,3.9,12.24,3.6,Sandy
32.0000_2.1200,32,2.12,21.3,37.62,144.9,8.3,7.6,3.8,14.24,3.5,Sandy
32.0000_2.2000,32,2.2,21.3,37.62,144.9,8.2,7.5,3.75,14.48,4.7,Sandy
32.0000_2.2800,32,2.28,21.26,37.78,110.8,8.2,7.2,3.6,12.24,3.2,Clay
32.0000_2.3600,32,2.36,21.19,37.8,133.2,8.2,7.3,3.65,13.6,3.7,Sandy
32.0000_2.4400,32,2.44,21.19,37.8,133.2,8.2,3.6,1.8,13.76,3.1,Sandy
32.0000_2.5200,32,2.52,21.24,37.77,103.7,8.1,4.4,2.2,13.44,2.9,Sandy
32.0000_2.6000,32,2.6,21.25,37.72,92.5,8.2,4.6,2.3,12.72,3.1,Sandy
32.0000_2.6800,32,2.68,21.26,37.75,76.3,8.2,4.7,2.35,13.44,5,Sandy
32.0000_2.7600,32,2.76,21.26,37.75,76.3,8.2,4.7,2.35,13.68,3.8,Sandy
32.0000_2.8400,32,2.84,21.37,37.49,68.3,8.3,3.6,1.8,14.4,3.6,Sandy
32.0000_2.9200,32,2.92,21.51,37.2,81.3,8.2,3.9,1.95,14.08,3.7,Sandy
32.0000_3.0000,32,3,21.56,36.86,69.9,8.2,4.3,2.15,12.8,3.1,Sandy
32.0000_3.0800,32,3.08,21.56,36.86,69.9,8.2,4.8,2.4,13.04,3,Sandy
32.0000_3.1600,32,3.16,21.56,36.84,66.1,8.1,5.7,2.85,12,4.2,Sandy
32.0000_3.2400,32,3.24,21.7,36.54,78.7,8.1,5.9,2.95,11.6,4.2,Sandy
32.0000_3.3200,32,3.32,21.76,36.43,58.1,8.2,5.7,2.85,11.68,4.3,Sandy
32.0000_3.4000,32,3.4,21.76,36.43,58.1,8.1,5.5,2.75,12,3.4,Sandy
32.0000_3.4800,32,3.48,21.92,35.96,61.5,8.2,5.3,2.65,11.76,3.6,Sandy
32.0000_3.5600,32,3.56,22.16,35.76,63.3,8.1,5.2,2.6,11.44,3.5,Sandy
32.0000_3.6400,32,3.64,22.45,35.66,76,8.3,5.7,2.85,11.04,4.1,Sandy
32.0000_3.7200,32,3.72,22.45,35.66,76,8.2,4.7,2.35,12.32,3.2,Sandy
32.0000_3.8000,32,3.8,22.48,35.94,83.1,8.3,4.5,2.25,12.56,3.1,Sandy
32.0000_3.8800,32,3.88,22.49,36.12,72.5,8.2,7.2,3.6,12.16,3.1,Sandy
32.0000_3.9600,32,3.96,22.49,36.12,72.5,8.2,5,2.5,11.84,3.2,Sandy
32.0000_4.0400,32,4.04,22.62,36.14,75.9,8.3,5.1,2.55,12.32,3.6,Sandy
32.0000_4.1200,32,4.12,22.8,36.09,88.2,8.3,7.2,3.6,11.84,3.4,Sandy
32.0000_4.2000,32,4.2,22.91,36.15,77.3,8.2,7.1,3.55,11.92,3.6,Sandy
32.0000_4.2800,32,4.28,22.91,36.15,77.3,8.2,7.5,3.75,12.24,3.8,Sandy
32.0000_4.3600,32,4.36,23,36.25,78.9,8.2,7.6,3.8,12.56,3.8,Sandy
32.0000_4.4400,32,4.44,23.15,36.06,101.8,8.3,7.5,3.75,12.24,3.7,Sandy
32.0000_4.5200,32,4.52,23.21,36.12,76.8,8.2,7.4,3.7,12.64,4.4,Clay
32.0000_4.6000,32,4.6,23.21,36.12,76.8,8.3,7.6,3.8,11.76,3.7,Clay
32.0000_4.6800,32,4.68,23.25,36.18,63.5,8.3,7.9,3.95,11.28,3.7,Sandy
32.0000_4.7600,32,4.76,23.3,36.03,64.7,8.3,8.8,4.4,12.16,4,Clay
32.0000_4.8400,32,4.84,23.33,36.13,81.5,8.3,8.1,4.05,11.44,3.8,Clay
32.0000_4.9200,32,4.92,23.33,36.13,81.5,8.3,8.4,4.2,12.16,3.9,Clay
32.0000_5.0000,32,5,23.38,36.16,93.3,8.3,8.3,4.15,12.24,3.9,Clay
32.0000_5.0800,32,5.08,23.42,36.26,70.3,8.3,5.3,2.65,12.88,3.1,Sandy
32.0000_5.1600,32,5.16,23.57,36.11,61.8,8.3,5.5,2.75,13.92,2.8,Sandy
32.0000_5.2400,32,5.24,23.57,36.11,61.8,8.3,11.2,5.6,13.44,3.7,Sandy
32.0000_5.3200,32,5.32,23.76,35.9,79.7,8.2,3.9,1.95,13.6,4.8,Sandy
32.0000_5.4000,32,5.4,23.81,35.93,78.4,8.3,10.5,5.25,12.48,3.1,Sandy
32.0000_5.4800,32,5.48,23.81,35.93,78.4,8.2,7.7,3.85,13.28,4.3,Sandy
32.0000_5.5600,32,5.56,23.79,36.08,97.2,8.2,7.6,3.8,12.96,3.3,Sandy
32.0000_5.6400,32,5.64,23.64,36.53,72.6,8.1,7.3,3.65,12.72,3.3,Sandy
32.0000_5.7200,32,5.72,23.54,36.81,81,8.2,7.6,3.8,12.8,3.1,Sandy
32.0000_5.8000,32,5.8,23.54,36.81,81,8.1,7.4,3.7,12.32,3.2,Sandy
32.0000_5.8800,32,5.88,23.52,36.91,81.7,8.2,8,4,11.6,3.3,Sandy
32.0000_5.9600,32,5.96,23.53,37.05,88.4,8.1,7,3.5,12.16,3.6,Sandy
32.0000_6.0400,32,6.04,23.51,37.23,83.1,8.2,7.5,3.75,11.92,3.6,Sandy
32.0000_6.1200,32,6.12,23.51,37.23,83.1,8.2,7.4,3.7,11.92,3.2,Sandy
32.0000_6.2000,32,6.2,23.47,37.46,91.6,8.2,7.5,3.75,12.88,3.3,Sandy
32.0000_6.2800,32,6.28,23.46,37.63,88.8,8.2,7.1,3.55,11.6,3.3,Sandy
32.0000_6.3600,32,6.36,23.41,37.85,96,8.2,7.4,3.7,11.92,3.5,Sandy
32.0000_6.4400,32,6.44,23.41,37.85,96,8.2,7.5,3.75,10.64,3.1,Sandy
32.0000_6.5200,32,6.52,23.36,38.07,85.3,8.2,7.2,3.6,12.8,3.3,Sandy
32.0000_6.6000,32,6.6,23.31,38.2,80.2,8.2,7.1,3.55,11.92,3.4,Sandy
32.0000_6.6800,32,6.68,23.31,38.31,74.6,8.1,7.4,3.7,11.2,3.8,Sandy
32.0000_6.7600,32,6.76,23.31,38.31,74.6,8.1,7.3,3.65,11.28,3.8,Sandy
32.0000_6.8400,32,6.84,23.28,38.49,64.9,8.1,7.3,3.65,12.16,3.3,Sandy
32.0000_6.9200,32,6.92,23.28,38.49,70.1,8.1,7,3.5,11.28,3.3,Sandy
32.0000_7.0000,32,7,23.28,38.49,70.1,8.1,7.5,3.75,12.32,3.3,Sandy
32.0000_7.0800,32,7.08,23.29,38.46,68.2,8,7.1,3.55,12.32,3.2,Sandy
32.0000_7.1600,32,7.16,23.26,38.58,66.4,8,7,3.5,11.76,3.4,Sandy
32.0000_7.2400,32,7.24,23.2,38.9,60,8,7.1,3.55,12.08,3.1,Sandy
32.0000_7.3200,32,7.32,23.2,38.9,60,8,9.7,4.85,10.72,2.9,Sandy
32.0000_7.4000,32,7.4,23.15,39.04,68.8,8,9.8,4.9,11.2,3.1,Sandy
32.0000_7.4800,32,7.48,23.06,39.14,75.2,8,7.7,3.85,11.12,2.7,Sandy
32.0000_7.5600,32,7.56,23.04,39.2,64.6,8.1,6,3,11.12,4.4,Sandy
32.0000_7.6400,32,7.64,23.04,39.2,64.6,8.1,10,5,11.44,3.4,Sandy
32.0000_7.7200,32,7.72,23,39.42,70,8.1,7.3,3.65,11.04,3,Clay
32.0000_7.8000,32,7.8,22.98,39.59,59.8,8,6.9,3.45,10.8,3,Sandy
32.0000_7.8800,32,7.88,22.97,39.71,52.3,8.2,6,3,11.44,3.7,Sandy
32.0000_7.9600,32,7.96,22.97,39.71,52.3,8,8.2,4.1,12.08,3.2,Clay
32.0000_8.0400,32,8.04,22.98,39.73,57.4,8.2,7.6,3.8,12,3.3,Sandy
32.0000_8.1200,32,8.12,22.97,39.86,78.7,8.2,9.9,4.95,12.16,3.4,Clay
32.0000_8.2000,32,8.2,22.93,40.07,72.7,8.1,7.3,3.65,12.48,3.2,Silt
32.0000_8.2800,32,8.28,22.93,40.07,72.7,8.1,7.3,3.65,12.88,3.2,Silt
32.0000_8.3600,32,8.36,22.89,40.23,59.3,8,7.6,3.8,12.96,3,Silt
32.0000_8.4400,32,8.44,22.84,40.38,68.4,8.1,10.3,5.15,13.44,3.1,Silt
32.0000_8.5200,32,8.52,22.84,40.38,68.4,8.1,7.1,3.55,13.2,2.8,Sandy
32.0000_8.6000,32,8.6,22.77,40.7,59.2,8.1,10.5,5.25,12.8,3.3,Silt
32.0000_8.6800,32,8.68,22.71,41,63.4,8.1,4.6,2.3,12.64,3,Silt
32.0800_-2.2000,32.08,-2.2,20.35,36.83,178.7,8.2,3.9,1.95,10.24,3.4,Sandy
32.0800_-2.1200,32.08,-2.12,19.6,36.64,178.7,8.1,6.5,3.25,10.08,6,Sandy
32.0800_-2.0400,32.08,-2.04,18.52,38.27,204.4,8.1,4.9,2.45,9.36,4.3,Sandy
32.0800_-1.9600,32.08,-1.96,17.31,40.05,251.7,8.2,4.5,2.25,10.32,4.8,Sandy
32.0800_-1.8800,32.08,-1.88,16.9,40.94,237.1,8.2,9.8,4.9,11.44,8.5,Sandy
32.0800_-1.8000,32.08,-1.8,15.24,40.55,237.1,8.1,10.4,5.2,9.92,8.9,Sandy
32.0800_-1.7200,32.08,-1.72,16.57,40.62,194.5,8.1,8,4,10.64,9.3,Sandy
32.0800_-1.6400,32.08,-1.64,16.75,39.11,206.1,8.2,7.9,3.95,11.12,7.2,Sandy
32.0800_-1.5600,32.08,-1.56,18.65,38.54,166.7,8.1,15.3,7.65,9.44,15.4,Sandy
32.0800_-1.4800,32.08,-1.48,16.86,38.14,166.7,8.1,11.6,5.8,10.96,14,Sandy
32.0800_-1.4000,32.08,-1.4,17.99,37.1,206,8.1,9,4.5,9.04,9.2,Sandy
32.0800_-1.3200,32.08,-1.32,20.57,36.84,145.3,8.3,8.3,4.15,11.36,4,Sandy
32.0800_-1.2400,32.08,-1.24,20.89,35.74,125.8,8.2,7.2,3.6,8.56,4.6,Sandy
32.0800_-1.1600,32.08,-1.16,20.89,35.74,125.8,8.2,4.5,2.25,11.2,4.1,Sandy
32.0800_-1.0800,32.08,-1.08,20.74,36.15,120.9,8.2,4,2,9.44,3.6,Sandy
32.0800_-1.0000,32.08,-1,20.57,36.69,116.7,8.3,4.8,2.4,10.96,4.7,Sandy
32.0800_-0.9200,32.08,-0.92,20.46,37,116,8.4,5.2,2.6,11.36,3.9,Sandy
32.0800_-0.8400,32.08,-0.84,20.46,37,116,8.3,4.1,2.05,9.92,4.4,Clay
32.0800_-0.7600,32.08,-0.76,20.55,36.88,145,8.3,4,2,10.08,4,Clay
32.0800_-0.6800,32.08,-0.68,20.85,36.71,132.7,8.3,5.1,2.55,9.28,4.3,Sandy
32.0800_-0.6000,32.08,-0.6,20.85,36.71,132.7,8.3,4.1,2.05,10.32,4.6,Clay
32.0800_-0.5200,32.08,-0.52,20.94,36.75,130.3,8.3,4.3,2.15,10.56,5.3,Sandy
32.0800_-0.4400,32.08,-0.44,20.59,37.22,134.4,8.3,4.4,2.2,11.12,3.9,Sandy
32.0800_-0.3600,32.08,-0.36,20.27,37.6,138,8.3,3.8,1.9,11.84,4.1,Sandy
32.0800_-0.2800,32.08,-0.28,20.27,37.6,138,8.4,4.9,2.45,12.32,4,Sandy
32.0800_-0.2000,32.08,-0.2,20.21,37.75,125.8,8.3,4.8,2.4,12.4,3.9,Sandy
32.0800_-0.1200,32.08,-0.12,20.24,37.85,115.4,8.3,5.1,2.55,11.6,3.8,Sandy
32.0800_-0.0400,32.08,-0.04,20.32,37.63,100.9,8.2,5.2,2.6,11.28,4.1,Sandy
32.0800_0.0400,32.08,0.04,20.32,37.63,100.9,8.3,4.7,2.35,11.28,3.6,Sandy
32.0800_0.1200,32.08,0.12,20.46,37.39,99.1,8.3,4.9,2.45,12,3.3,Sandy
32.0800_0.2000,32.08,0.2,20.56,37.67,115.5,8.3,4.8,2.4,12.88,3.8,Silt
32.0800_0.2800,32.08,0.28,20.67,37.68,117,8.4,4,2,13.04,3.7,Silt
32.0800_0.3600,32.08,0.36,20.67,37.68,117,8.3,4,2,10.88,3.2,Sandy
32.0800_0.4400,32.08,0.44,20.79,37.43,120.3,8.4,5.8,2.9,12.48,3.4,Sandy
32.0800_0.5200,32.08,0.52,20.8,37.46,116.1,8.3,4.4,2.2,10.56,3.1,Clay
32.0800_0.6000,32.08,0.6,20.74,37.66,117.6,8.3,4.2,2.1,12.32,3.8,Silt
32.0800_0.6800,32.08,0.68,20.74,37.66,117.6,8.3,4.3,2.15,10.88,3.3,Clay
32.0800_0.7600,32.08,0.76,20.71,37.79,106.1,8.3,4.7,2.35,10.72,3.6,Sandy
32.0800_0.8400,32.08,0.84,20.75,37.9,138.6,8.3,4.2,2.1,12.88,4.1,Sandy
32.0800_0.9200,32.08,0.92,20.75,37.9,138.6,8.3,4.1,2.05,12.8,3.6,Clay
32.0800_1.0000,32.08,1,20.81,37.92,164.5,8.3,4.2,2.1,13.36,3.6,Clay
32.0800_1.0800,32.08,1.08,20.93,37.83,156.9,8.3,4.6,2.3,13.44,4.4,Clay
32.0800_1.1600,32.08,1.16,21.06,37.7,167.6,8.3,4,2,11.92,4.3,Clay
32.0800_1.2400,32.08,1.24,21.06,37.7,167.6,8.4,4.7,2.35,13.6,4,Clay
32.0800_1.3200,32.08,1.32,21.07,37.73,171.3,8.3,4.7,2.35,13.68,4.2,Sandy
32.0800_1.4000,32.08,1.4,21.09,37.6,182.5,8.4,5,2.5,14.64,4.2,Clay
32.0800_1.4800,32.08,1.48,21.15,37.64,183.3,8.3,4.5,2.25,13.84,4.7,Clay
32.0800_1.5600,32.08,1.56,21.15,37.64,183.3,8.3,4.5,2.25,13.92,3.7,Clay
32.0800_1.6400,32.08,1.64,21.18,37.7,156.2,8.4,4.7,2.35,14.08,3.8,Clay
32.0800_1.7200,32.08,1.72,21.2,37.66,152.5,8.3,4.4,2.2,13.44,4.2,Clay
32.0800_1.8000,32.08,1.8,21.18,37.68,144.7,8.4,5.6,2.8,13.04,4.1,Sandy
32.0800_1.8800,32.08,1.88,21.18,37.68,144.7,8.3,5.3,2.65,13.36,4.2,Sandy
32.0800_1.9600,32.08,1.96,21.17,37.81,148.7,8.3,7.7,3.85,11.92,3.7,Clay
32.0800_2.0400,32.08,2.04,21.22,37.82,135.3,8.3,7.4,3.7,13.76,3.8,Sandy
32.0800_2.1200,32.08,2.12,21.23,37.81,150.8,8.3,7.1,3.55,13.44,3.3,Clay
32.0800_2.2000,32.08,2.2,21.23,37.81,150.8,8.3,7,3.5,13.92,3.1,Sandy
32.0800_2.2800,32.08,2.28,21.12,37.92,127,8.3,7,3.5,14.16,3.2,Sandy
32.0800_2.3600,32.08,2.36,21.14,37.96,136.2,8.2,7.8,3.9,14,3.2,Clay
32.0800_2.4400,32.08,2.44,21.14,37.96,136.2,8.2,7.3,3.65,14.08,3.2,Clay
32.0800_2.5200,32.08,2.52,21.22,37.89,131.9,8.2,7.3,3.65,14.56,3.7,Sandy
32.0800_2.6000,32.08,2.6,21.24,37.96,104.8,8.2,7.3,3.65,12.4,3.6,Sandy
